State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs,
Bihar,Arwal,District ,Food view,Ration,Ration vendors,Kurtha,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/05/2020050464.pdf,,,,,https://arwal.nic.in/,
Bihar,Arwal,District ,Food view,Ration,Ration vendors,Block arwal,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020043050.pdf,,,,,https://arwal.nic.in/,
Bihar,Arwal,District ,Health View,Medicine delivery,Medicine providers,,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020041160.pdf,,,,,https://arwal.nic.in/,
Bihar,Arwal,District ,Others,,Corona elimination fund,,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020041019.pdf,,,,,https://arwal.nic.in/,
Bihar,Arwal,District ,E-pass view,,,,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020040430.pdf,,,,,https://arwal.nic.in/,
Bihar,Arwal,District ,Health View,Others,Private clinics,open during lockdown,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020040398.pdf,,,,,https://arwal.nic.in/,
Bihar,Aurangabad (BH),District ,Others,,Corona warrior van,equipped with protective apparatus ; this van is travels to infected areas for patient analysis ,,https://aurangabad.bih.nic.in/service/covid-19/,,,,,,
Bihar,Aurangabad (BH),District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06186-295016,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Banka,District ,Health View,Isolation Centres,DH Banka ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Banka,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06424-222308,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,,
Bihar,Begusarai,District ,Health View,Isolation Centres,DH Begusarai,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Begusarai,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06243-222285,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhagalpur,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,0641-2421073,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhagalpur,District ,Health View,Isolation Centres,Nasha mukti kendra ; sadar hospital complex,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhagalpur,District ,Health View,Isolation Centres,SDH Kahalgaon,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhagalpur,District ,Health View,Isolation Centres,SDH naugachiya,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhagalpur,District ,Health View,Isolation Centres,JLMNCH,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhagalpur,District ,Others,,Corona feedback,govt. attempt to know views of people about lockdown,,https://bhagalpur.nic.in/corona-feedback/,,,,,,
Bihar,Bhojpur,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06182-248010,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhojpur,District ,Health View,Isolation Centres,DH Ara,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Bhojpur,District ,Health View,Isolation Centres,SDH Jagdishpur,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Buxar,District ,Health View,Isolation Centres,DH Buxar,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Buxar,District ,Health View,Isolation Centres,SDH dumraon,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Buxar,District ,Health View,Medicine delivery,medicine helpline ,,8544421293,https://cdn.s3waas.gov.in/s34f4adcbf8c6f66dcfc8a3282ac2bf10a/uploads/2020/04/2020043031.pdf,,,,,https://buxar.nic.in/,
Bihar,Buxar,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06183-223333,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Buxar,District ,Food view,Others,milk and dairy shops,,,https://cdn.s3waas.gov.in/s34f4adcbf8c6f66dcfc8a3282ac2bf10a/uploads/2020/04/2020043021.pdf,,,,,https://buxar.nic.in/,
Bihar,Buxar,District ,Food view,Food delivery,Fruit and vegetable vendors,,,https://cdn.s3waas.gov.in/s34f4adcbf8c6f66dcfc8a3282ac2bf10a/uploads/2020/04/2020043034.pdf,,,,,https://buxar.nic.in/,
Bihar,Buxar,District ,Others,,LPG and gas services,,,https://cdn.s3waas.gov.in/s34f4adcbf8c6f66dcfc8a3282ac2bf10a/uploads/2020/03/2020032691.p,,,,,,
Bihar,Darbhanga,District ,Health View,Isolation Centres,Nursing home ; DMCH ,,01656-227510,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Darbhanga,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06272-2425055,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,East Champaran,District ,Health View,Isolation Centres,District hospital ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,East Champaran,District ,Health View,Isolation Centres,SDH Pakaridayal,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,East Champaran,District ,Health View,Isolation Centres,Duchkan hospital ; motihari,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,,
Bihar,East Champaran,District ,Health View,Isolation Centres,RH Dhaka ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,East Champaran,District ,Health View,Isolation Centres,RH Areraj,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,East Champaran,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06252-296406,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Gaya,District ,Health View,Isolation Centres,DH Gaya,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gaya,District ,Health View,Isolation Centres,SDH tekari ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gaya,District ,Health View,Isolation Centres,SDH Sherghati ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gaya,District ,Health View,Isolation Centres,ANMCH ; gaya,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gaya,District ,Health View,Isolation Centres,CHC mahkar,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gaya,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06312-22253,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Gopalganj,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,01656-227510,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Gopalganj,District ,Health View,Isolation Centres,District hospital ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gopalganj,District ,Health View,Isolation Centres,SDH Hathua,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gopalganj,District ,Health View,Isolation Centres,RH Phulwariya,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gopalganj,District ,Health View,Isolation Centres,RH Bhore,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Gopalganj,District ,Health View,Isolation Centres,RH Kateya,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Jamui,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06345-224618,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Jamui,District ,Health View,Isolation Centres,DH Jamui,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Jamui,District ,Health View,Isolation Centres,RH Jhajha,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Jehanabad,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06114-223013,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Kaimur (Bhabhua),District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06189-223254,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Kaimur (Bhabhua),District ,Others,,State wise registration link for Migrant Workers/Students/Pilgrims/Others stranded outside Bihar,,,https://cdn.s3waas.gov.in/s3daca41214b39c5dc66674d09081940f0/uploads/2020/05/2020050810.pdf,,,,,https://kaimur.nic.in/notice/weblink-for-registration-of-outgoing-migrants/,
Bihar,Katihar,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,6452242400,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Khagaria,District ,E-Pass View,,COVID-19 ONLINE APPLICATION FOR VEHICLE PASS; KHAGARIA,,,https://khagaria.nic.in/covid-19-online-application-for-vehicle-pass-khagaria/,,,,,,
Bihar,Khagaria,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06244-222168,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Khagaria,District ,Others,Others,Registration link for people staying outside Bihar to visit home state Bihar,,,https://khagaria.nic.in/registration-link-for-people-stay-outside-bihar-to-visit-home-state-bihar/,,,,,https://khagaria.nic.in/,
Bihar,Kishanganj,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06456-222375,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Lakhisarai,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06346-233090,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Madhepura,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06476 - 222220 ,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Madhubnani,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06276-296133,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Munger,District ,Health View,Others,Control room no. for health,,06344-228442,https://cdn.s3waas.gov.in/s3e0c641195b27425bb056ac56f8953d24/uploads/2020/04/2020042117.pdf,,,,,https://munger.nic.in/service/coronavirus-covid-19/,
Bihar,Munger,District ,Food View,Others,Control room no. for food and other essential commodities,,,https://cdn.s3waas.gov.in/s3e0c641195b27425bb056ac56f8953d24/uploads/2020/04/2020042117.pdf,,,,,https://munger.nic.in/service/coronavirus-covid-19/,
Bihar,Munger,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06344-228442,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Muzzaffarpur,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,0621-2266055,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Nalanda,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,6112236794,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Nawada,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,06324-212278,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Nawada,District ,Health View,Speciality Hospitals,Contact Details for DISTRICT HEALTH SOCIETY,,,https://cdn.s3waas.gov.in/s3a4f23670e1833f3fdb077ca70bbd5d66/uploads/2020/04/2020041681.pdf,,,,,https://nawada.nic.in,
Bihar,Nawada,District ,Health View,Others,Ambulance details of Hospitals of Nawada,,,https://cdn.s3waas.gov.in/s3a4f23670e1833f3fdb077ca70bbd5d66/uploads/2020/04/2020041975.pdf,,,,,https://nawada.nic.in,
Bihar,Patna,District ,Health View,Tele-consultation,Advice of a doctor on call,For treatment related queries,0612 2249964,https://cdn.s3waas.gov.in/s3fb7b9ffa5462084c5f4e7e85a093e6d7/uploads/2020/04/2020040215.jpg,,,,,https://patna.nic.in/,
Bihar,Patna,District ,Food View,Ration,Subdivision level contact numbers for inquiry and complaints regarding ration/food disbursement,,,https://cdn.s3waas.gov.in/s3fb7b9ffa5462084c5f4e7e85a093e6d7/uploads/2020/04/2020040415.jpg,,,,,https://patna.nic.in/,
Bihar,Patna,District ,Food view,Others,Food bank,Public food shelter -  high School; Gardanibagh; Patna; Bihar 800002, 098354 75862,https://www.google.com/search?rlz=1C1SQJL_enIN888IN888&sxsrf=ALeKk022k7s5GcyekRAZ2XlpinLyInyaUw:1588915880571&ei=mO60Xs_ZKPiE4-EPh7GZmA0&q=patna%20covid%2019%20food%20shelter&oq=patna+covid+19+food+shelter&gs_lcp=CgZwc3ktYWIQAzIFCCEQoAE6BAgjECc6BQgAEMQCOgIIADoFCAAQgwE6BwgAEBQQhwI6BwghEAoQoAE6BAghEBVQz1FY4WBgsWJoAHAAeACAAZoBiAGrDpIBBDAuMTSYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=2ahUKEwjruI71xKPpAhWYwzgGHVvEAYcQvS4wAHoECAsQHQ&uact=5&npsic=0&rflfq=1&rlha=0&rllag=25597884;85133245;2535&tbm=lcl&rldimm=12252910048710547299&lqi=ChtwYXRuYSBjb3ZpZCAxOSBmb29kIHNoZWx0ZXIiA_ABAUi5qu3u5a2AgAhaQgoVY292aWQgMTkgZm9vZCBzaGVsdGVyEAEQAhADEAQYABgDGAQiG3BhdG5hIGNvdmlkIDE5IGZvb2Qgc2hlbHRlcg&rldoc=1&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2&rlst=f#rlfi=hd:;si:12252910048710547299;l;ChtwYXRuYSBjb3ZpZCAxOSBmb29kIHNoZWx0ZXIiA_ABAUi5qu3u5a2AgAhaQgoVY292aWQgMTkgZm9vZCBzaGVsdGVyEAEQAhADEAQYABgDGAQiG3BhdG5hIGNvdmlkIDE5IGZvb2Qgc2hlbHRlcg;mv:[[25.891360199999998;85.5189235];[25.356482399999997;84.60739509999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2,,,,,,
Bihar,Patna,District ,Food view,Others,Food bank,Public food shelter -  Milar high School; Veerchand; Beer chand Patel Path; Veerchand Patel Road Area; Patna; Bihar 800001,072504 38107,https://www.google.com/search?rlz=1C1SQJL_enIN888IN888&sxsrf=ALeKk022k7s5GcyekRAZ2XlpinLyInyaUw:1588915880571&ei=mO60Xs_ZKPiE4-EPh7GZmA0&q=patna%20covid%2019%20food%20shelter&oq=patna+covid+19+food+shelter&gs_lcp=CgZwc3ktYWIQAzIFCCEQoAE6BAgjECc6BQgAEMQCOgIIADoFCAAQgwE6BwgAEBQQhwI6BwghEAoQoAE6BAghEBVQz1FY4WBgsWJoAHAAeACAAZoBiAGrDpIBBDAuMTSYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=2ahUKEwjruI71xKPpAhWYwzgGHVvEAYcQvS4wAHoECAsQHQ&uact=5&npsic=0&rflfq=1&rlha=0&rllag=25597884;85133245;2535&tbm=lcl&rldimm=12252910048710547299&lqi=ChtwYXRuYSBjb3ZpZCAxOSBmb29kIHNoZWx0ZXIiA_ABAUi5qu3u5a2AgAhaQgoVY292aWQgMTkgZm9vZCBzaGVsdGVyEAEQAhADEAQYABgDGAQiG3BhdG5hIGNvdmlkIDE5IGZvb2Qgc2hlbHRlcg&rldoc=1&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2&rlst=f#rlfi=hd:;si:12252910048710547299;l;ChtwYXRuYSBjb3ZpZCAxOSBmb29kIHNoZWx0ZXIiA_ABAUi5qu3u5a2AgAhaQgoVY292aWQgMTkgZm9vZCBzaGVsdGVyEAEQAhADEAQYABgDGAQiG3BhdG5hIGNvdmlkIDE5IGZvb2Qgc2hlbHRlcg;mv:[[25.891360199999998;85.5189235];[25.356482399999997;84.60739509999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2,,,,,,
Bihar,Patna,District ,Food view,Others,Food bank,Public food shelter -  Malahi Pakri; East Indira Nagar; Kankarbagh; Patna; Bihar 800020,092644 47417,https://www.google.com/search?rlz=1C1SQJL_enIN888IN888&sxsrf=ALeKk022k7s5GcyekRAZ2XlpinLyInyaUw:1588915880571&ei=mO60Xs_ZKPiE4-EPh7GZmA0&q=patna%20covid%2019%20food%20shelter&oq=patna+covid+19+food+shelter&gs_lcp=CgZwc3ktYWIQAzIFCCEQoAE6BAgjECc6BQgAEMQCOgIIADoFCAAQgwE6BwgAEBQQhwI6BwghEAoQoAE6BAghEBVQz1FY4WBgsWJoAHAAeACAAZoBiAGrDpIBBDAuMTSYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=2ahUKEwjruI71xKPpAhWYwzgGHVvEAYcQvS4wAHoECAsQHQ&uact=5&npsic=0&rflfq=1&rlha=0&rllag=25597884;85133245;2535&tbm=lcl&rldimm=12252910048710547299&lqi=ChtwYXRuYSBjb3ZpZCAxOSBmb29kIHNoZWx0ZXIiA_ABAUi5qu3u5a2AgAhaQgoVY292aWQgMTkgZm9vZCBzaGVsdGVyEAEQAhADEAQYABgDGAQiG3BhdG5hIGNvdmlkIDE5IGZvb2Qgc2hlbHRlcg&rldoc=1&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2&rlst=f#rlfi=hd:;si:12252910048710547299;l;ChtwYXRuYSBjb3ZpZCAxOSBmb29kIHNoZWx0ZXIiA_ABAUi5qu3u5a2AgAhaQgoVY292aWQgMTkgZm9vZCBzaGVsdGVyEAEQAhADEAQYABgDGAQiG3BhdG5hIGNvdmlkIDE5IGZvb2Qgc2hlbHRlcg;mv:[[25.891360199999998;85.5189235];[25.356482399999997;84.60739509999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2,,,,,,
