STATE,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
HIMACHAL PRADESH,ALL,State,Health View,Isolation Centers,Govt.,ESI Katha; Solan,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/06fa08fc4bea05a71c847c990a40dd4525f180ef.pdf,secondary level dedicated isolation facility catering to district Solan and Sirmaur with IGMC Shimla as earmarked tertiary level facility for confirmed cases; in case referral is required.,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Others,Govt.,Institutional Quarantine Facility,HP Institute of Public Administration; Hostel / Guest Houses; Fairlawns.,,https://cdn.s3waas.gov.in/s3b534ba68236ba543ae44b22bd110a1d6/uploads/2020/03/2020033131.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Others,Govt.,Institutional Quarantine Facility,Institute of Hotel Management; Kufri Shimla.,,https://cdn.s3waas.gov.in/s3b534ba68236ba543ae44b22bd110a1d6/uploads/2020/03/2020033131.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Others,Govt.,Institutional Quarantine Facility,Co-operative Bank Guest House and Hostel; Sangti; Summerhill.,,https://cdn.s3waas.gov.in/s3b534ba68236ba543ae44b22bd110a1d6/uploads/2020/03/2020033131.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Others,Govt.,Institutional Quarantine Facility,Tribal Bhawan; dhalli.,,https://cdn.s3waas.gov.in/s3b534ba68236ba543ae44b22bd110a1d6/uploads/2020/03/2020033131.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Others,Govt.,Institutional Quarantine Facility,Club Mahindra Pristine Peaks; Naldehra Shimla,,https://cdn.s3waas.gov.in/s3b534ba68236ba543ae44b22bd110a1d6/uploads/2020/03/2020033131.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Others,Govt.,Institute Quarantine facility,Panchayati Raj Training Institute; Baijnath; Kangra; Mashobra; Shimla and State Agricultural Management and Extension Training Institute; Mashobra; Shimla,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/3e27e392f4f8dc270928d5538195a74162317704.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,E-pass View,,Govt.,,,,http://covid19epass.hp.gov.in/applications/epass/apply,Governmnet ID,,,Online approvals by District Adminstration,
HIMACHAL PRADESH,ALL,State,E-pass View,,Govt.,Application for Issuance of COVID-19 Movement Pass,,,https://serviceonline.gov.in/renderApplicationForm.do;jsessionid=56237D499633035E933C86DFF4C97AA3?serviceId=13730002&UUID=b118e5da-3d13-4118-8862-e23d1db9a913&grievDefined=0&serviceLinkRequired=No&directService=true&userLoggedIn=N&tempId=4860&source=CTZN&OWASP_CSRFTOKEN=AZGA-L512-SR0L-RP16-FRNR-OKI8-CINM-V6BB,Document Proof as to why the PASS is required;  Identity Proof (Voter Id Card;Driving Licence;PAN Card;Passport; Deptt. ID),,,SMS based URL access to ePass,
HIMACHAL PRADESH,ALL,State,Other,,Govt.,Covid 19 integrated portal (Single window for all COVID-19 related IT initiatives by Government of Himachal Pradesh),,,http://covidportal.hp.gov.in/,,,,,
HIMACHAL PRADESH,Bilaspur (HP),State,Food view,Food Delivery,Govt.,Home Delivery of grocery,,,https://drive.google.com/drive/folders/1emHVUn8hQ6ZaWzHjIN8yLDlLQjkaj8ij,,,,For updated ones kindly check the FB handle of DC Bilaspur,https://www.facebook.com/DCBilaspurHP/
HIMACHAL PRADESH,Bilaspur (HP),State,E-pass View,,Govt.,Important numbers for getting curfew passes,,,https://drive.google.com/drive/folders/1emHVUn8hQ6ZaWzHjIN8yLDlLQjkaj8ij,,,,,
HIMACHAL PRADESH,Bilaspur (HP),State,Others,,,Some important numbers for stranded people,,,https://drive.google.com/drive/folders/1emHVUn8hQ6ZaWzHjIN8yLDlLQjkaj8ij,,,,,
HIMACHAL PRADESH,Chamba,District,E-pass View,,Govt.,online curfew pass (Contact numbers are in the link),,,https://cdn.s3waas.gov.in/s3577bcc914f9e55d5e4e4f82f9f00e7d4/uploads/2020/03/2020033054.pdf,,,,,https://hpchamba.nic.in/notice_category/notice-board/page/3/
HIMACHAL PRADESH,Hamirpur(HP),District,Food View,Food Delivery,Govt.,Home Delivery of Milk Products; Order of essential commodities,,,https://hphamirpur.nic.in/      http://hphmrddma.in/login,,,,One needs to sign up and log in in the given link,
HIMACHAL PRADESH,Hamirpur(HP),District,Health View,Others,Govt.,Health Services ,Emergency number during curfew/lockdown,01972-222222,https://hphamirpur.nic.in/helpline/,,,,,
HIMACHAL PRADESH,Kangra,District,E-pass View,,Govt.,All important contact numbers for online curfew passes,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kangra,District,Food View,Food Delivery,Govt.,All important contact numbers for home Delivery of groceries,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kangra,District,Health View,Medicine Delivery,Govt.,All important contact numbers for medicine delivery,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kangra,District,Health View,Tele-consultation,Govt.,All important contact numbers ranging from  tele-consulation to helpline for stress and anxiety etc.,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kangra,District,Health View,Others,Govt.,All important contact numbers ranging from dialysis,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kangra,District,Others,,Govt.,All important contact numbers ranging from gas supply; fodder supply; domestic violence helpline,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kangra,District,Food View,Hunger Helpline,Govt.,Important numbers,,,https://cdn.s3waas.gov.in/s348aedb8880cab8c45637abc7493ecddd/uploads/2020/04/2020042492.pdf,,,,,https://hpkangra.nic.in/covid19/
HIMACHAL PRADESH,Kullu,District,Food Delivery,Ration,Govt.,Food and ration to needy is to be provided by district administration and district red cross society,,,https://hpkullu.nic.in/,,,,,
HIMACHAL PRADESH,Lahul & Spiti,District,,,Govt.,,,,https://hplahaulspiti.nic.in/,,,,,
HIMACHAL PRADESH,Mandi,District,Food View,Food Delivery,Govt.,Contact information on home Delivery of grocery ,,,https://hpmandi.nic.in/important-information-regarding-home-Delivery-covid-19/,,,,,
HIMACHAL PRADESH,Mandi,District,Health ,Medicine delivery,Govt.,Contact information on home Delivery of medicines,,,https://hpmandi.nic.in/important-information-regarding-home-Delivery-covid-19/,,,,,
HIMACHAL PRADESH,Shimla,District,Food View,Food Delivery,Govt.,Information on home Delivery of grocery,,,https://drive.google.com/drive/folders/1L5jO7tUlIG5oRGac_UA1oKpFo0WOJU6C,,,,Updated information can be found on the FB page of DC Shimla,https://www.facebook.com/ShimlaAdministration/
HIMACHAL PRADESH,Shimla,District,Health View,Medicine delivery,Govt.,Information on home Delivery of medicines,,,https://drive.google.com/drive/folders/1L5jO7tUlIG5oRGac_UA1oKpFo0WOJU6C,,,,Updated information can be found on the FB page of DC Shimla,https://www.facebook.com/ShimlaAdministration/
HIMACHAL PRADESH,Shimla,District,Health View,Tele-consultation,Govt.,Information on numbers of counsellors; help for senior citizen; differently able; sick etc.,,,https://drive.google.com/drive/folders/1L5jO7tUlIG5oRGac_UA1oKpFo0WOJU6C,,,,Updated information can be found on the FB page of DC Shimla,https://www.facebook.com/ShimlaAdministration/
HIMACHAL PRADESH,Shimla,District,E-pass View,,Govt.,Information on WhatsApp number for curfew permit,,,https://drive.google.com/drive/folders/1L5jO7tUlIG5oRGac_UA1oKpFo0WOJU6C,,,,Updated information can be found on the FB page of DC Shimla,https://www.facebook.com/ShimlaAdministration/
HIMACHAL PRADESH,Solan,District,Food View,Food Delivery,Govt.,Dhabas/cafes/restaurant/tiffin services open for home Delivery of cooked food items in sub-division of Solan and Nalagarh,,,https://cdn.s3waas.gov.in/s3e2230b853516e7b05d79744fbd4c9c13/uploads/2020/04/2020041161.pdf,,,,Within jurisdiction of subdivison Solan and Nalagarh. ,https://hpsolan.nic.in/document/order-issued-on-11-04-2020/
HIMACHAL PRADESH,Una,District,Food View,Food Delivery,Govt.,Home delivery of grocery,,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,https://hpuna.nic.in/
HIMACHAL PRADESH,Una,District,Food View,Ration,Govt.,Free ration to slums and those in distress,,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,
HIMACHAL PRADESH,Una,District,Health View,Medicine Delivery,Govt.,Home delivery of medicines,,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,https://hpuna.nic.in/
HIMACHAL PRADESH,Una,District,Health View,Others,Govt.,Contact information for dialysis and physiotherapy (pick and drop),,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,https://hpuna.nic.in/
HIMACHAL PRADESH,Una,District,Health View,Others,Govt.,Ambulance free as well as paid,,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,https://hpuna.nic.in/
HIMACHAL PRADESH,Una,District,E-pass View,,Govt.,Contact information for passes,,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,https://hpuna.nic.in/
HIMACHAL PRADESH,Una,District,Others,,Govt.,Helpline numbers for stranded people; home quarantine and assistance to disabled,,,https://cdn.s3waas.gov.in/s39b04d152845ec0a378394003c96da594/uploads/2020/03/2020032841.pdf,,,,,https://hpuna.nic.in/
