State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Assam,ALL,State,Health View,Medicine Delivery,Govt.,Web portal for medicine Delivery,Assam medicine Delivery scheme,104,https://forms.office.com/Pages/ResponsePage.aspx?id=jQ49md0HKEGgbxRJvtPnRHi9K6-pO79Ej36IQf48kYRUMTFNTkpaVjdZQ1ZaRjdGUDJCTTVHVlFENi4u,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Gauhati Medical College ; Guwahati,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Regional medical research center ; Dibrugarh,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Jorhat medical college ; Jorhat,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Silchar Medical College ; Silchar,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Fakruddin Ali Ahmed medical College;Barpeta,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Tezpur Medical College ; Tezpur,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Assam Medical College; Dibrugarh,,https://www.icmr.gov.in/,,,,,
Assam,ALL,State,Health View,Speciality Hospitals,Govt.,Dedicated covid 19 hospitals,,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/Dedicated-Covid-19-Hospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,ALL,State,E-pass View,,Govt.,Travel pass,,,https://eservices.assam.gov.in/renderApplicationForm.do?serviceId=15330008&UUID=97046e2a-e65e-4cf4-ada7-c0cd08f6dffe&grievDefined=0&serviceLinkRequired=No&directService=true&userLoggedIn=N&tempId=5969&source=CTZN&OWASP_CSRFTOKEN=Z7HP-X7RV-RQB8-AAY1-IBBX-HZL4-RZM7-TOA4,,,,,
Assam,ALL,State,Others,,Govt.,COVAAS app,COVA Assam application for COVID updates; helplines;E-pass;volunteer;donation for CMRF,,https://play.google.com/store/apps/details?id=in.nic.assam.covaas,,,,,
Assam,ALL,State,Others,,Govt.,COVID SURAKSHA app,mobile app analyzing the visit of health worker to home quarantine cases,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/COVID-Suraksha-V1.0.pdf,,,,,https://covid19.assam.gov.in/
Assam,ALL,State,Others,,Govt.,Financial assistance,For people of assam stranded in other states,9615471547,https://covid19.assam.gov.in/,,,,,
Assam,Bongaigaon,District,E-pass View,,Govt.,travel pass,application to be submitted at the DC office (For Bongaigon only),,https://bongaigaon.gov.in/sites/default/files/swf_utility_folder/departments/bongaigaon_epr_amtron_in_oid_2/menu/right_menu/right_menu/format_for_pass.pdf,,,,,https://covid19.assam.gov.in/
Assam,Bongaigaon,District,Food View,Food Delivery,Govt.,Vishal Mega Mart - Govt. authorised,,8011933811; 7002000000,https://bongaigaon.gov.in/sites/default/files/swf_utility_folder/departments/bongaigaon_epr_amtron_in_oid_2/menu/right_menu/right_menu/homeDelivery_1.pdf,,,,,https://covid19.assam.gov.in/
Assam,Bongaigaon,District,Food View,Others,Govt.,Authorised Raw food vendors,,,https://bongaigaon.gov.in/sites/default/files/swf_utility_folder/departments/bongaigaon_epr_amtron_in_oid_2/menu/right_menu/right_menu/vegitables_shopkeeper.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,IOCL Hospital,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,Kashikotra model hospital,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,Bhetagaon CHC;Bijni,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,St. Augustine hospital ; Chapaguri,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,Crofts memorial hospital ; Tukrajhar,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,MG Model hospital ; subhaijar,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,Bengtol CHC,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Chirang,District,Health View,Isolation Centers,Govt.,Dedicated COVID Hospital,IOCL Hospital,,https://chirang.gov.in/sites/default/files/sites/all/themes/swf/images/simple_content_page/listisolationqurantainhospitals.pdf,,,,,https://covid19.assam.gov.in/
Assam,Lakhimpur,District,Food View,Food Delivery,Govt.,fodder; fish and  livestock Delivery,to farmers by animal husbandry dept.,,https://veterinary.assam.gov.in/portlet-innerpage/lakhimpur-district,,,,,
Assam,Lakhimpur,District,Food View,Food Delivery,Govt.,fruit and vegetable Delivery,by agriculture dept.,,http://diragri.medhassu.in/sites/default/files/swf_utility_folder/departments/diragri_medhassu_in_oid_4/this_comm/1Contact%20No.%20Sr.%20ADOs1.pdf,,,,,http://diragri.medhassu.in/
Assam,Lakhimpur,District,Shelter View,,Govt.,Narayanpur Town Committee Hall; Narayanpur;,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Shelter View,,Govt.,Anchalik Panchayat Multipurpose Community Hall; Harmutty,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Shelter View,,Govt.,Harmutty High School; Harmutty,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Shelter View,,Govt.,Night Shelter; Khelmati; NL,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Shelter View,,Govt.,Town Model LP School; NL,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Others,,Govt.,ANTFLIP app,mobile application for home Delivery of essentials,,http://www.antflip.com/,,,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0
Assam,Lakhimpur,District,Health View,Isolation Centers,Govt.,OPD College Gymnasium; Panigaon; Lakhimpur,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Health View,Isolation Centers,Govt.,Lakhimpur Kendriya Mahavidyalaya; NL.,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Health View,Isolation Centers,Govt.,North Lakhimpur Commerce College,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne0,,,,,
Assam,Lakhimpur,District,Health View,Isolation Centers,Govt.,Telahi Model Hospital; Panigaon; Lakhimpur,,,https://covid19.assam.gov.in/initiative/?id=45&content=1343#collapseOne9,,,,,
Madhya Pradesh,ALL,State,Health View,Others,Govt.,Health Helpline number,,104,https://cdn.s3waas.gov.in/s3d709f38ef758b5066ef31b18039b8ce5/uploads/2020/04/2020040122.pdf,,,,,http://mphealthresponse.nhmmp.gov.in/covid/contact-us/state-list/
Madhya Pradesh,ALL,State,Health View,Tele-consultation,Govt.,24*7 Quarantine helpline,To provide emotional support and counselling to the quarantined people by mental health professionals,18002330175,https://cdn.s3waas.gov.in/s302e74f10e0327ad868d138f2b4fdd6f0/uploads/2020/04/2020040348.pdf,,,,,https://mapit.gov.in/
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,All India Institute of Medical Sciences; Bhopal,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,National Institute for Research on Tribal Health; Jabalpur,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Mahatma Gandhi Memorial Medical College; Indore,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Gandhi Medical College; Bhopal,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Bhopal Memorial Hospital & research Centre; Bhopal,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Gajra Raja Medical College; Gwalior,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Bundelkhand Medical College; Sagar,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,SS Medical College; Rewa,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Defence Research & Development Organization; Gwalior,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,ICAR-NIHSAD; Bhopal,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Chirayu Medical College & Hospital; Bhopal Indore; Highway; Bhaisakhedi; Bhopal,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Central Research Lab; R D Gardi Medical College; Surasa; Ujjain,,https://www.icmr.gov.in/,,,,,
Madhya Pradesh,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Central Lab; MZ 117-118; Yeshwant Plaza; Indore,,,,,,,
Madhya Pradesh,Ashok Nagar,District,Food View,Food Delivery,Othres,List of grocery stores - Chanderi ,Grocery store list for home Delivery: Chanderi Nagar Palika Parishad,,https://cdn.s3waas.gov.in/s3a5e00132373a7031000fd987a3c9f87b/uploads/2020/03/2020033095-1.pdf,,,,,https://ashoknagar.nic.in/en/
Madhya Pradesh,Ashok Nagar,District,Health View,Medicine Delivery,Govt.,List of medical stores - Ashoknagar,Medical store list for home Delivery: Ashoknagar Nagar Palika Parishad,,https://cdn.s3waas.gov.in/s3a5e00132373a7031000fd987a3c9f87b/uploads/2020/03/2020033049.pdf,,,,,https://ashoknagar.nic.in/en/
Madhya Pradesh,Ashok Nagar,District,Health View,Medicine Delivery,Govt.,List of medical stores - Mungaoli,Medical store list for home Delivery: Mungaoli Nagar Parishad,,https://cdn.s3waas.gov.in/s3a5e00132373a7031000fd987a3c9f87b/uploads/2020/03/2020033138.pdf,,,,,https://ashoknagar.nic.in/en/
Madhya Pradesh,Ashok Nagar,District,Health View,Medicine Delivery,Govt.,List of medical stores - Chanderi,Medical store list for home Delivery: Chanderi Nagar Palika Parishad,,https://cdn.s3waas.gov.in/s3a5e00132373a7031000fd987a3c9f87b/uploads/2020/04/2020040447.pdf,,,,,https://ashoknagar.nic.in/en/
Madhya Pradesh,Ashok Nagar,District,Health View,Medicine Delivery,Govt.,List of medical stores - Shadora,Medical store list for home Delivery: Nagar Parishad Shadora,,https://cdn.s3waas.gov.in/s3a5e00132373a7031000fd987a3c9f87b/uploads/2020/04/2020040422.pdf,,,,,https://ashoknagar.nic.in/en/
Madhya Pradesh,Balaghat,District,Health View,Others,Govt.,Block level medical team contacts,Numbers in the link,,https://cdn.s3waas.gov.in/s35d44ee6f2c3f71b73125876103c8f6c4/uploads/2020/03/2020032448.pdf,,,,,https://balaghat.nic.in/en/
Madhya Pradesh,Balaghat,District,Health View,Others,Govt.,District Hospital Helpline Number,,7477014758,https://balaghat.nic.in/en/,,,,,
Madhya Pradesh,Betul,District,Health View,Others,Govt.,List of designated quarantine centres ,Name and numbers of all quarantine centres in the link,,https://cdn.s3waas.gov.in/s31534b76d325a8f591b52d302e7181331/uploads/2020/04/2020041242.pdf,,,,,https://betul.nic.in/en/noval-corona-virus/
Madhya Pradesh,Betul,District,Health View,Others,Govt.,Contact number of District Nodal officer,Nodal officer - Dr. Sourabh Rathore,7034245091,http://mphealthresponse.nhmmp.gov.in/covid/contact-us/district-list/,,,,,
Madhya Pradesh,Bhind,District,Health View,Tele Consultation,Govt.,Tele Medicine Centre,Tele Medicine Centre,8349274001,https://bhind.nic.in/en/,,,,,
Madhya Pradesh,Bhind,District,Health View,Others,Govt.,Covid 19 related action plan information and contact numbers,Action plan with important contact numbers in the link,,https://cdn.s3waas.gov.in/s3fde9264cf376fffe2ee4ddf4a988880d/uploads/2020/04/2020040929.pdf,,,,,
Madhya Pradesh,Chhindwara,District,Health View,Others,Govt.,District Hospital,,07162 244512,https://chhindwara.nic.in/en/,,,,,
Madhya Pradesh,Damoh,District,Health View,Others,Govt.,Medical officers in Damoh,Contact numbers of Medical officers posted in Damoh district in the link,,https://cdn.s3waas.gov.in/s30f28b5d49b3020afeecd95b4009adf4c/uploads/2020/03/2020032427.pdf,,,,,https://damoh.nic.in/en/corona-virus/
Madhya Pradesh,Datia,District,Health View,Others,Govt.,Health related Control Room,,8461946705;8461950856,https://datia.nic.in/en/,,,,,
Madhya Pradesh,Dewas,District,Health View,Tele-consultation,Govt.,Telemedicine Number,Telemedicine Number,07272 252572,https://dewas.nic.in/en/,,,,,
Madhya Pradesh,Khandwa,District,Food View,Hunger Helpliness,Govt.,Dept of Food and Civil Supplies Toll free number for free food,Toll free number for providing free food to homeless  migrant  destitute and distressed people by the Department of Food and Civil Supplies,18002332797,https://khandwa.nic.in/en/,,,,,
Madhya Pradesh,Guna,District,Food View,Hunger Helpliness,Govt.,Food supply,,07542 259744,https://guna.nic.in/en/covid-19-2/,,,,,
Madhya Pradesh,Guna,District,Food View,Food Delivery,Others,Daily needs and grocery home delivery,List of stores and numbers for home delivery of grocery/food items; list of areas covering; list of delivery persons and their contact numbers for each store,,https://cdn.s3waas.gov.in/s37380ad8a673226ae47fce7bff88e9c33/uploads/2020/03/2020032876.pdf,,,,,https://guna.nic.in/en/covid-19-2/
Madhya Pradesh,Guna,District,Others,,Others,List of Covid 19 volunteers in the district,Numbers  areas  and names in the link,,https://cdn.s3waas.gov.in/s37380ad8a673226ae47fce7bff88e9c33/uploads/2020/03/2020032887.pdf,,,,,https://guna.nic.in/en/covid-19-2/
Madhya Pradesh,Guna,District,Others,,Others,List of donators in the district - food and raw materials,Names,,https://cdn.s3waas.gov.in/s37380ad8a673226ae47fce7bff88e9c33/uploads/2020/03/2020032878.pdf,,,,,https://guna.nic.in/en/covid-19-2/
Madhya Pradesh,Harda,District,Others,,Govt.,Information on important orders for relief under curfew,information in the link,,https://harda.nic.in/en/corona-virus/,,,,,
Madhya Pradesh,Indore,District,Health View,Tele-consultation,Govt.,Telemedicine number,Whatsapp number,7489244895,https://indore.nic.in/en/,,,,,
Madhya Pradesh,Jabalpur,District,Others,,Govt.,Travel history reporting ,Online form for reporting travel history - Travel history form - those who came to Jabalpur after 1 March are requested to fill the form,,https://jabalpur.nic.in/en/event/urgent-request-to-the-general-public-for-the-prevention-of-corona-infection/,,,,,Form link: https://docs.google.com/forms/d/e/1FAIpQLSdm-IrSSyHwFUyzpbd_dqm078XNawer72Z3C3MbQDW1jrP4vQ/viewform?vc=0&c=0&w=1
Madhya Pradesh,Jabalpur,District,Health View,Others,Govt.,Covid 19 containment zones - details,Details of localities  nodal officer details are given in the link and a Google map is also available,,https://cdn.s3waas.gov.in/s3a1d0c6e83f027327d8461063f4ac58a6/uploads/2020/05/2020050290.pdf,,,,18 April - 30 June 2020,Google map: https://www.google.com/maps/d/u/0/viewer?mid=1mr8BA6bPpFW7KofuKmaKN0VUmUt3OvNh&shorturl=1&ll=23.31644773934428%2C79.93581499999993&z=10;https://jabalpur.nic.in/en/event/covid-19-containment-zones-of-jabalpur/
Madhya Pradesh,Jhabua,District,Others,,Govt.,Tender details for medical supplies/diaster-related and other materials,For tenders of medical supplies / disaster related materials and other materials,,https://cdn.s3waas.gov.in/s3d1fe173d08e959397adf34b1d77e88d7/uploads/2020/04/2020041779.pdf,,,,,
