UT,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,VMMC and Safdarjung Hospital,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Lal Path Labs; Block -E; Sector 18; Rohini; Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Dr Dangs Lab; C-2/1; Safadarjung Development; Area; New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Laboratory Services; Indraprastha Apollo Hospitals; Sarita Vihar; New Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Max Lab; Max Super Spciality Hospital; Saket; New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Sir Ganga Ram Hospital Clinical Lab Services; Sir Ganga Ram Hospital; Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Oncquest Labs Ltd; 3-Factory Road; New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Prognosis Laboratories; 515-16; Sector 19; Dwarka,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,City X-Ray & Scan Clinic Pvt Ltd; 4B/18; Tilak Nagar; New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Lifeline Laboratory; H-11; Green Park Extension; New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Dept of Lab Services; Dr. B.L. Kapur Memorial Hospital; 5; Pusa Road; New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Dept of Laboratory Services; Action Cancer Hospital; A-4; Paschim Vihar (East); New-Delhi,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Speciality Hospitals,Govt.,Lok Nayak Hospital,,,http://health.delhigovt.nic.in/wps/wcm/connect/7f1260804dc917a2b9eaff982ee7a5c7/ORDER+IDSP.pdf?MOD=AJPERES&lmod=-160400428,,,,,
Delhi,ALL,UT,Health View,Speciality Hospitals,Govt.,G.B.Pant Hospital,,,http://health.delhigovt.nic.in/wps/wcm/connect/7f1260804dc917a2b9eaff982ee7a5c7/ORDER+IDSP.pdf?MOD=AJPERES&lmod=-160400428,,,,,
Delhi,ALL,UT,Health View,Speciality Hospitals,Govt.,Rajiv Gandhi Super Speciality Hospital,,,http://health.delhigovt.nic.in/wps/wcm/connect/7f1260804dc917a2b9eaff982ee7a5c7/ORDER+IDSP.pdf?MOD=AJPERES&lmod=-160400428,,,,,
Delhi,ALL,UT,Health View,Speciality Hospitals,Govt.,Guru Teg Bahadur Hospital,,,http://health.delhigovt.nic.in/wps/wcm/connect/7f1260804dc917a2b9eaff982ee7a5c7/ORDER+IDSP.pdf?MOD=AJPERES&lmod=-160400428,,,,,
Delhi,ALL,UT,Health View,Speciality Hospitals,Govt.,Deen Dayal Upadhyay Hospital,,,http://health.delhigovt.nic.in/wps/wcm/connect/7f1260804dc917a2b9eaff982ee7a5c7/ORDER+IDSP.pdf?MOD=AJPERES&lmod=-160400428,,,,,
Delhi,ALL,UT,Health View,Speciality Hospitals,Govt.,Dr. Baba Saheb Ambedkar Hospital,,,http://health.delhigovt.nic.in/wps/wcm/connect/7f1260804dc917a2b9eaff982ee7a5c7/ORDER+IDSP.pdf?MOD=AJPERES&lmod=-160400428,,,,,
Delhi,ALL,UT,E-pass View,,Govt.,Generated for- food required; ration; Rs 5000 compensation for construction workers; pension amount; for travel during curfew,,,https://epass.jantasamvad.org/epass/init/,,ID proof required for travel during curfew.,,e-Pass for travel during curfew is being issued for those who are engaged in providing essential services like manufacturing; transport; storage and shops but do not have a Government or Private ID.,
Ladakh,ALL,UT,E-pass View,,Govt.,Curfew pass,,,http://covid.ladakh.gov.in/#curfewPass,,Aadhar Identification no.,,,
Ladakh,ALL,UT,Others,,Govt.,Register yourself as volunteer,,,http://covid.ladakh.gov.in/#hi,,,,,
Ladakh,Leh,District,Health View,Medicine Delivery,Govt.,Free Delivery of medicines at your doorstep and consultancy on phone,,9797766176; 7051182237,,,,,,
Lakshadweep,ALL,UT,Food View,Ration,Govt.,Free supply 15 kg rice,,,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/04/2020040981.pdf,,Ration card,,,https://lakshadweep.gov.in/notice_category/covid_19/
Lakshadweep,ALL,UT,Food View,Ration,Govt.,5kg rice; 1 kg pulse /month to AAY and PHH cardholders,,,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/04/2020040981.pdf,Ration card holders; AAY and PHH cardholders; migrant laboreres,Ration card,3 months,,https://lakshadweep.gov.in/notice_category/covid_19/
Lakshadweep,ALL,UT,Food View,Hunger Helplines,Govt.,Free food for stranded persons including migrant laborers,,,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/04/2020040981.pdf,,,,This order says that apart from all the mentioned categories who have already been given this assistance; more daily wagers have to be identified to reimburse their loss of wages.,https://lakshadweep.gov.in/notice_category/covid_19/
Lakshadweep,ALL,UT,Others,Others,Govt.,Additional 1000 per month for NSAP/UT pension beneficiaries,,,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/04/2020040981.pdf,,,3 months,,https://lakshadweep.gov.in/notice_category/covid_19/
Lakshadweep,ALL,UT,Others,Others,Govt.,COVID-19 Public Grievances: Shri Bikha Ram Meena (DANICS; Director (Gen admin & protocol)); Lakshadweep,utlgap2321@gmail.com,04896 262321,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/04/20200401100.pdf,,,,Covid grievances shall be given high priority ; redressed preferably within 3 days; https://lakshadweep.gov.in/notice_category/circulars/page/2/,
Lakshadweep,ALL,UT,Others,Others,Govt.,Urgency Certificate,Mandatory to have urgency certificate to board ship for travel to mainland.,,https://static.mygov.in/rest/s3fs-public/mygov_158505776851307401.pdf,,,,It will be issued by Deputy Collector or SDO of respective islands. For query: contact DC/SDO of respective island.,
Lakshadweep,ALL,UT,Health View,Health: Others,Govt.,All hospitals/primary health centres/first aid centres should have CORONA CELL for screening of suspected cases,,,https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2020/03/2020033125.pdf,,,,,https://lakshadweep.gov.in/notice_category/covid_19/page/2/
Dadra and Nagar Haveli and Daman and Diu,ALL,UT,Health View,Tele-consultation,Govt.,Tele-consultation by voice and video,Names and timings of doctors,,https://dddcovid19.in/uploads/images/img15.jpeg,,,,,https://dddcovid19.in/important_information
Dadra and Nagar Haveli and Daman and Diu,ALL,UT,Health View,Medicine Delivery,Govt.,Vendors contact details for home Delivery of medicines,,,https://dddcovid19.in/uploads/images/IMG2.jpeg,,,,,https://dddcovid19.in/important_information
Dadra and Nagar Haveli and Daman and Diu,ALL,UT,Food View,Food Delivery,Govt.,Contact details of vendors for home Delivery of groceries and vegetables,,,https://dddcovid19.in/uploads/images/IMG2.jpeg,,,,,https://dddcovid19.in/important_information
Dadra and Nagar Haveli and Daman and Diu,ALL,UT,E-pass View,,Govt.,,,,https://epass.dddcovid19.in/main#home,,,,,
Dadra and Nagar Haveli and Daman and Diu,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Shri Vinoba Bhave Civil Hospital; Silvassa,,https://icmr.nic.in/sites/default/files/upload_documents/Govt_Labs_24042020.pdf,,,,Government laboratory as per a list published by ICMR on 24/04/2020 on https://www.icmr.nic.in/node/39071 Available at icmr.nic.in,
Dadra and Nagar Haveli and Daman and Diu,ALL,UT,Others,,,Banking Correspondent list in Naroli,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,Daman,District,Food View,Food Delivery,Govt.,Area wise contact details of vendors for home Delivery of groceries and vegetables,,,https://dddcovid19.in/home_deliveries,,,,,
Dadra and Nagar Haveli and Daman and Diu,Daman,District,Food View,Ration,Govt.,Free of cost ration under Pradhan Manti Gareeb Kalyan Yojana,15kg Rice and 3Kg Tur Dal,02602231377; 02602264009,https://dddcovid19.in/uploads/images/IMG22_1.jpeg,,,For 3 months: April May and June 2020,Time: 8AM to 4PM at Fair Price shops,https://dddcovid19.in/important_information
Dadra and Nagar Haveli and Daman and Diu,Daman,District,Health View,Medicine Delivery,Govt.,Area wise contact details of vendors for home Delivery of medicines,,,https://dddcovid19.in/home_deliveries,,,,,
Dadra and Nagar Haveli and Daman and Diu,Diu,District,Food View,Others,Govt.,Donor form,For people who wish to donate food/ration,,https://docs.google.com/forms/d/e/1FAIpQLScyLZd2g5-Rw3iGsDp4gAk92XVyZdooFqJdonN4snbZJdSq8w/Viewform,,,,,http://diu.gov.in/
Dadra and Nagar Haveli and Daman and Diu,Diu,District,Others,,Govt.,Volunteer form,,,https://docs.google.com/forms/d/e/1FAIpQLSeBjBuDwJVr_a61G1RZGmu9NH2UDBxekUrNkP3kwhFTRLjSTA/Viewform,,,,,http://diu.gov.in/
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,District,Food View,Food Delivery,Govt.,Contact details for home Delivery of grocery,,,http://dnh.nic.in/Docs/COVID19/HomeDelivery.pdf,,,,,http://dnh.nic.in/Departments/COVID19.aspx
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,District,Health View,Medicine Delivery,Govt.,Contact details for home Delivery of medicines,,,http://dnh.nic.in/Docs/COVID19/HomeDelivery.pdf,,,,,http://dnh.nic.in/Departments/COVID19.aspx
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,District,Others,,Govt.,Contact details for home Delivery of sanitised cash breakdown assistance with AC/fridge etc.,,,http://dnh.nic.in/Docs/COVID19/HomeDelivery.pdf,,,,,http://dnh.nic.in/Departments/COVID19.aspx
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,District,Others,,Govt.,Volunteer form,,,https://docs.google.com/forms/d/e/1FAIpQLScPlljDJsSzcB8Pzwa94FuhQ_W9ZevI3T-TENfMzH9zbbOwlw/Viewform,,,,,http://dnh.nic.in/
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,District,Others,,Govt.,Banking Correspondent list in Naroli containment area for banking services,,,https://dddcovid19.in/uploads/images/IMG1202.jpeg,,,,,https://dddcovid19.in/important_information
Andaman and Nicobar Islands,ALL,UT,Health View,Covid-19 Testing centres,Govt.,Govt. Laboratory,Regional Medical Research Centre; Port Blair,,https://www.icmr.gov.in/,,,,,
Andaman and Nicobar Islands,ALL,UT,Health View,Covid-19 Testing centres,Govt.,Govt. institution approved only for TrueNat Screening Testing of Covid-19,A&N Islands Institute of Medical Sciences; Port Blair,,https://www.icmr.gov.in/,,,,,
Andaman and Nicobar Islands,ALL,UT,Health View,Covid-19 Testing centres,Govt.,Govt. Institution approved only for CBNAAT testing of Covid-19,GB Pant Hospital; Port Blair,,,,,,,
Andaman and Nicobar Islands,ALL,UT,Food View,Hunger Helplines,Govt.,Migrant Labours; hunger helpline,,9434260022,https://www.andaman.gov.in/admin-pannel/whatsnew/1-1046-lab.pdf,,,,,https://www.andaman.gov.in/
Andaman and Nicobar Islands,ALL,UT,Health View,Medicine Delivery,Govt.,Medical store phone number for Delivery,,,https://www.andaman.gov.in/admin-pannel/whatsnew/1-1038-contact.pdf,,,,,https://www.andaman.gov.in/
Andaman and Nicobar Islands,ALL,UT,Food View,Food Delivery,Govt.,Contact details of grocery vendors,Tehsil wise,,https://www.andaman.gov.in/admin-pannel/whatsnew/1-1039-ESSENTIAL%20VENDORS.pdf,,,,,https://www.andaman.gov.in/
Andaman and Nicobar Islands,ALL,UT,Health View,Medicine Delivery,Govt.,Private medical stores and Govt health institutions across Andamans,For door step delivery of medicines,,https://www.andaman.gov.in/admin-pannel/whatsnew/1-1039-ESSENTIAL%20VENDORS.pdf,,,,,https://www.andaman.gov.in/
Andaman and Nicobar Islands,ALL,UT,Others,,Govt.,Details about booking/cancellation of travel,andamantourismgh@gmail.com,03192-244081,https://www.andamantourism.gov.in/Ann_all.php,,,,Check circular entitled: Grievances/queries related to booking/cancellation regarding their tours ships hotels etc,
Andaman and Nicobar Islands,ALL,UT,Others,,Govt.,Contact Details of Nodal officers for gievance redressal,For issues of non-receipt of wages; deduction of wages; migrant laborers; daily wagers; hunger helplines etc.,,https://www.andaman.gov.in/admin-pannel/whatsnew/1-1046-lab.pdf,,,,,
Andaman and Nicobar Islands,South Andaman,District,,,Govt.,,,,https://southandaman.nic.in/,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,District,,,Govt.,,,,https://northmiddle.andaman.nic.in/,,,,,
Andaman and Nicobar Islands,Nicobars,District,Food View,Food Delivery,Govt.,Home Delivery of grocery,contact numbers of the shop keepers and administrative heads,,https://cdn.s3waas.gov.in/s382489c9737cc245530c7a6ebef3753ec/uploads/2020/03/2020032859.pdf,,,,,https://nicobars.andaman.nic.in/covid-19-prepardness/
Andaman and Nicobar Islands,Nicobars,District,Others,,Govt.,Home Delivery of sanitary items and other essentials,contact numbers of the shop keepers and administrative heads,,https://cdn.s3waas.gov.in/s382489c9737cc245530c7a6ebef3753ec/uploads/2020/03/2020032859.pdf,,,,,https://nicobars.andaman.nic.in/covid-19-prepardness/
Chandigarh,ALL,UT,Health View,Government Laboratory,Govt.,Post Graduate Institute of Medical Education & Research,,,https://www.icmr.gov.in/,,,,,
Chandigarh,ALL,UT,Health View,Government Laboratory,Govt.,Govt. Medical College,,,https://www.icmr.gov.in/,,,,,
Chandigarh,ALL,UT,Health View,Government Laboratory,Govt.,Institute of Microbial Technology,,,https://www.icmr.gov.in/,,,,,
Chandigarh,ALL,UT,Health View,Isolation Centers,Govt.,Government Medical College and Hospital (GMCH)  Sector 32,,,http://chdcovid19.in/index.php/page/shelter-home,,,,,
Chandigarh,ALL,UT,Health View,Isolation Centers,Govt.,Government Multi Speciality Hospital (GMSH)  Sector 16,,,http://chdcovid19.in/index.php/page/shelter-home,,,,,
Chandigarh,ALL,UT,Health View,Isolation Centers,Govt.,Post Graduate Institute of Medical Education & Research (PGIMER)  Sector 12,,,http://chdcovid19.in/index.php/page/shelter-home,,,,,
Chandigarh,ALL,UT,Health View,Medicine Delivery,Govt.,List of chemist shops with contact numbers for home Delivery of medicines,,,http://chdcovid19.in/uploads/1585556699-dpr20-list-chemist2.pdf,,,,,http://chdcovid19.in/
Chandigarh,ALL,UT,Food View,Ration,Govt.,Food subsidy for two months April and May  2020 is released together and deposited in the bank accounts of beneficiaries  helpline number is for any query and complaint,,18001802068;1967,http://chdcovid19.in/uploads/1585054106-DBT_Press_Note.pdf,Registered beneficiaries as Priority Households and AAY households under DBT Scheme for food grains as per provisions of NFSA,,For April and May  2020,The subsidy is transferred directly into their bank accounts. The beneficiaries can contact the District Food & Supplies Officer (DFSO) for redressal of their grievances.,http://chdcovid19.in/
Chandigarh,ALL,UT,Food View,Ration,Govt.,Consumer Helpline Number for any query and complaint regarding food subsidy released together for April and May  2020,For the registered beneficiaries,18001802079,http://chdcovid19.in/uploads/1585054106-DBT_Press_Note.pdf,Registered beneficiaries as Priority Households and AAY households under DBT Scheme  for food grains as per provisions of NFSA are eligible for this.,,,,http://chdcovid19.in/
Chandigarh,ALL,UT,Food View,Ration,Govt.,Distribution of 3 months of Food Grains to Poor Families,It is in addition to the food subsidy,,http://chdcovid19.in/uploads/1586447420-NoteonFoodGrains.pdf,Registered beneficiaries as Priority Households and AAY households under DBT Scheme for food grains as per provisions of NFSA are eligible for this.,,Chandigarh Administration has decided to distribute 3 months(April  May and June  2020) food grains in one go i.e. 15 kg Wheat per persons and 03 kg Pulses per family,Under the Pradhan Mantri Garib Kalyan Anna Yojna  free of cost at their doorstep. This is in addition to the food subsidy already made available in the bank accounts of the registered beneficiaries.,http://chdcovid19.in/
Chandigarh,ALL,UT,Food View,Food Delivery,Govt.,List of retail grocery shops with contact numbers for home Delivery,,,http://chdcovid19.in/uploads/1585320897-mcc20-vend-karynana3.pdf,,,,,http://chdcovid19.in/
Chandigarh,ALL,UT,Shelter View,,Govt.,Two Shelter Homes for migrant laborers/workers in Maloya Community Centres.,The capacity of these Shelter Homes is about 200.,,http://chdcovid19.in/index.php/page/shelter-home,,,,,
Chandigarh,ALL,UT,E-pass View,,Govt.,Movement pass,,,http://admser.chd.nic.in/dpc/,,,,,
Chandigarh,ALL,UT,Others,,Govt.,Volunteer Registration,,,http://chdcovid19.in/index.php/volunteer,,Government ID,,,
Chandigarh,ALL,UT,Others,,Govt.,List of Electricians / Plumbers / AC Mechanics for Providing Utility Services Across Various Zones in Chandigarh,,,http://chandigarh.gov.in/pdf/engg20-listtech2104.pdf,,,,,http://chdcovid19.in/
Jammu & Kashmir,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Govt. Medical College Jammu,,https://www.icmr.gov.in/,,,,,
Jammu & Kashmir,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Command Hospital (NC) Udhampur,,https://www.icmr.gov.in/,,,,,
Jammu & Kashmir,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Sher-i-Kashmir Institute of Medical Sciences Srinagar,,https://www.icmr.gov.in/,,,,,
Jammu & Kashmir,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Govt. Medical College Srinagar,,https://www.icmr.gov.in/,,,,,
Jammu & Kashmir,ALL,UT,Health View,Others,Govt.,Kashmir Division District wise list of hospitals,Name and Contact Numbers of Nodal Officers,,https://www.dhskashmir.org/pdf/COVID19%20District%20Nodal%20Officers%20of%20Kashmir%20Division.pdf,,,,,https://www.dhskashmir.org/
Jammu & Kashmir,ALL,UT,E-pass View,,Govt.,Application for Issuing of COVID-19 Movement ePass,Link for Application for Issuing of COVID-19 Movement ePass,,https://serviceonline.gov.in/directApply.do?serviceId=1371,,Applicant needs to provide one Govt issued ID card like PAN; Adhar; Voter ID; Driving licence etc. Applicant also needs to provide details of Vehicle being used.,,Important info regarding filling up of forms: https://cdn.s3waas.gov.in/s3979d472a84804b9f647bc185a877a8b5/uploads/2020/04/2020041311.pdf
Jammu & Kashmir,ALL,UT,Others,,Govt.,Form for movement of migrant persons from outside of J&k back to the UT,Only to be filled by Migrant Workers who are desirous to return to Jammu & Kashmir from outside,,https://docs.google.com/forms/d/e/1FAIpQLSc1Eu2SUPSEpgLAqxexqLvZVH6yWuFcUrCExG9J3Jm1KnSPjg/viewform,For migrants who are desirous to return to J&K,,,Persons desirous of returning are required to fill in the relevant forms with the details and after due process the movement pass will be provided.,https://kishtwar.nic.in/jk-govt-issue-online-registration-helpline-numbers-to-facilitate-stranded-persons/
Jammu & Kashmir,ALL,UT,Others,,Govt.,Form for movement of other stranded people desirous to return to J&K,,,https://docs.google.com/forms/d/e/1FAIpQLSfY8N8ZZvL506LRRnydvkfdOncsSPkQl7r3ebEF4Iiw8KM4dw/viewform,,,,Persons desirous of returning are required to fill in the relevant forms with the details and after due process the movement pass will be provided.,https://kishtwar.nic.in/jk-govt-issue-online-registration-helpline-numbers-to-facilitate-stranded-persons/
Jammu & Kashmir,ALL,UT,Others,,Govt.,Form for travel details of students who are studying outside of Jammu and Kashmir,,,http://itss.uok.edu.in/Main/UserForm.aspx?Form=Students_Outside#top,,,,,https://kishtwar.nic.in/jk-govt-issue-online-registration-helpline-numbers-to-facilitate-stranded-persons/
Jammu & Kashmir,ALL,UT,Others,,Govt.,Form for Contact details of Persons arriving from outside J&K UT,,,https://docs.google.com/forms/d/e/1FAIpQLSfpC2mW9xe5q6QKV5xufNozZLbnZDplBbOVJn2bHkTmU2KgbQ/viewform,,Aadhar card,,,https://srinagar.nic.in/srinagarfightscorona/
Jammu & Kashmir,Srinagar,District,Others,,Govt.,Corona Sureveillance J&K Mobile App (Srinagars Official App),At Google Playstore,,https://play.google.com/store/apps/details?id=nic.srinagar.coronajk,,,,,
Jammu & Kashmir,Srinagar,District,Health View,Others,Govt.,COVID-19 Health Centre,Contact details of staff deputed at Covid 19 Health center in Srinagar,,https://www.dhskashmir.org/orders/Deployment%20of%20Staff%20for%20COVID-19%20duties.pdf,,,,,https://www.dhskashmir.org/
