State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Karnataka,ALL,State,Health View,Speciality Hospitals,Govt.,Designated Covid 19 Hospitals,,,https://covid19.karnataka.gov.in/new-page/Designated%20Covid-19%20Hospitals/en,,,,,
Karnataka,ALL,State,Health View,Tele-consultation,Govt.,Telephone number for registration of doctors who want to volunteer (Telemedicine) in the state,,080-47192219,https://bagalkot.nic.in/en/covid-19/,,,,,
Karnataka,ALL,State,Food View,Hunger Helplines,Govt.,State Government Food Helpline Number,,155214,https://covid19.karnataka.gov.in/page/Helpline/en,,,,,
Karnataka,Bagalkot,District,Health View,Tele-consultation,Govt.,Nimhans Helpline for Mental Health Advice,,080-46110007,https://bagalkot.nic.in/en/covid-19/,,,,,
Karnataka,Bagalkot,District,Health View,Isolation Centers,Govt.,Isolation facilities in the district,,,https://cdn.s3waas.gov.in/s3a1d33d0dfec820b41b54430b50e96b5c/uploads/2020/03/2020032728.pdf,,,,,https://bagalkot.nic.in/en/covid-19/
Karnataka,Bagalkot,District,Others,,Govt.,Facility to get money on your door step from your nearest post offices. The beneficaries of goverment schemes can contact the post office for withdrawal of money from their account. Adhar Number; Bank Number; Mobile number and Account holders finger print is required.,,,https://bagalkot.nic.in/en/covid-19/,,,,,
Karnataka,Belgaum,District,Others,,Govt.,Registration of Volunteer /NGOs/Donors/ Suppliers/ Needs of the people,,,https://belagavi.nic.in/en/covid-19-registration-of-volunteers/,,,,,
Karnataka,Belgaum,District,Others,,Govt.,Accesss to Resources provided and Relief Mapping/ Response Database of COVID 19 belagavi,,,https://belagavi.nic.in/en/covid-19-registration-of-volunteers/,,,,,
Karnataka,Bidar,District,Others,,Govt.,NGOs/Volunteers Registration,,,https:;;docs.google.com;forms;d;e;1FAIpQLSfCiFj6RlMGh3Gj_ul3NYsGFBAf4JK9SXP0zTDooHOUt7b0gA;Viewform,,,,,https://bidar.nic.in/en/ngos-registration-for-bidar-covid-19/
Karnataka,Bijapur(KAR),District,Others,,Govt.,Volunteers registration,,,https:;;docs.google.com;forms;d;e;1FAIpQLSfAwXesf_gBKy6mWov3vzChToJMoxoMntG9OWS70DZNvIBd_A;Viewform,,,,,https://vijayapura.nic.in/en/
Karnataka,Bijapur(KAR),District,Others,,Govt.,Donors Registration,,,https:;;docs.google.com;forms;d;e;1FAIpQLScoNm_K7TQ26DRrcRRsLbnxcOtms-XVC3AC4OuSSj9F6Qx1ow;Viewform,,,,,https://vijayapura.nic.in/en/
Karnataka,Dakshina Kannada,District,Health View,Covid-19 Testing Centres,Govt.,Wenlock Hospital; Hampankatta; Mangalore - 575001,,,https://dk-coronavirus-response-quadperspective.hub.arcgis.com/,,,,,https://dk.nic.in/en/covid-19/
Karnataka,Dakshina Kannada,District,Food View,Food Delivery,Govt.,List of Online Delivery Agencies,,,https://cdn.s3waas.gov.in/s33a835d3215755c435ef4fe9965a3f2a0/uploads/2020/03/2020032939.pdf,,,,,https://dk.nic.in/en/covid-19/
Karnataka,Dakshina Kannada,District,Food View,Food Delivery,Govt.,List of hypermarkets & supermarkets in the city,,,https://cdn.s3waas.gov.in/s33a835d3215755c435ef4fe9965a3f2a0/uploads/2020/03/2020032961.pdf,,,,,https://dk.nic.in/en/covid-19/
Karnataka,Davangere,District,Health View,Tele-consultation,Govt.,List of Doctors for Tele Consultation,,,https://cdn.s3waas.gov.in/s3a8e864d04c95572d1aece099af852d0a/uploads/2020/03/2020033049.pdf,,,,,https://davanagere.nic.in/en/
Karnataka,Dharwad,District,Others,,Govt.,Work Permission to Agencies,,,https://docs.google.com/forms/d/e/1FAIpQLSd7wGMkRXDuEqoH25qAWNOo3_EzbfjrGbeqimznVEswjJZc_g/Viewform,,,,,http://www.dharwad.nic.in/en/covid19.aspx
Karnataka,Dharwad,District,Others,,Govt.,Volunteer Registration,,,https://docs.google.com/forms/d/e/1FAIpQLSd6GLr9DfJxVDZGDEozXuNlM0V0bSgvqQy1QFoDtarFK2DiFA/Viewform,,,,,http://www.dharwad.nic.in/en/covid19.aspx
Karnataka,Dharwad,District,Others,,Govt.,Complaint Registration,,,https://docs.google.com/forms/d/e/1FAIpQLScuPOkJGmgnBd4jcc7Es5wSMPiBceLZF1r2wE7GYWrNERmWVA/Viewform,,,,,http://www.dharwad.nic.in/en/covid19.aspx
Karnataka,Gadag,District,Health View,Others,Govt.,Health dept. helpline,,080 4684 8600; 080 6669 2000,https://gadag.nic.in/en/,,,,,
Karnataka,Gadag,District,Food View,Food Delivery,Govt.,List of grocery supplying shops,,,https://gadagshops.firebaseapp.com/tabs/tab1,,,,,https://gadag.nic.in/en/
Karnataka,Gulbarga,District,Health View,Speciality Hospitals,Govt.,List of Fever Clinics,,,https://cdn.s3waas.gov.in/s306997f04a7db92466a2baa6ebc8b872d/uploads/2020/04/2020041736.pdf,,,,,https://kalaburagi.nic.in/en/covid-19-eng/
Karnataka,Gulbarga,District,Food View,Others,Govt.,Donation of food grains to food committee for distribution of food materials to poor and homeless,,9449985855,https://cdn.s3waas.gov.in/s306997f04a7db92466a2baa6ebc8b872d/uploads/2020/03/2020032850-1.pdf,,,,,https://kalaburagi.nic.in/en/covid-19-eng/
Karnataka,Hassan,District,Others,,Govt.,Volunteer Registration,,,https://docs.google.com/forms/d/e/1FAIpQLSdIceb-3W0XewpPpGKIYD9GHgu5jrveXkWOKC-qIsHGGVZKEw/Viewform,,,,,https://hassan.nic.in/en/
Karnataka,Kolar,District,Others,,Govt.,COVID-19 online complaint registration,,,https:;;docs.google.com;forms;d;e;1FAIpQLSfn8AdwBA82rodY3OKf__7gAcTjts7grlpkAMEtNJ0DuslhLg;Viewform,,,,,https://kolar.nic.in/en/
Karnataka,Mysuru,District,E-pass View,,Govt.,Send your details - Name; Address; Service or Duty Details; Vehicle number; Scanned copy of your ID proof to the given number or mail id, covidmyspass@gmail.com,8277040782,https://mysore.nic.in/en/covid-19-coronavirus/,,,,,
Karnataka,Mysuru,District,Health View,Covid-19 Testing Centres,Govt.,Covid-19 Fever Centres,,,https://cdn.s3waas.gov.in/s30d3180d672e08b4c5312dcdafdf6ef36/uploads/2020/04/2020041784.pdf,,,,,https://mysore.nic.in/en/covid-19-coronavirus/
Karnataka,Shimoga,District,Health View,Others,Govt.,Taluk level contact numbers list,,,https://shimoga.nic.in/en/,,,,,
Karnataka,Udupi,District,Others,,Govt.,Details of various committees formed to prevent spreading of COVID -19 in Udupi,,,https://cdn.s3waas.gov.in/s36bc24fc1ab650b25b4114e93a98f1eba/uploads/2020/03/2020032474.pdf,,,,,https://udupi.nic.in/en/covid-19/
Karnataka,Uttara Kannada,District,Others,,Govt.,,,,http://uttarakannada.nic.in/covid19.html,,,,,
Karnataka,Yadgir,District,Others,,Govt.,Official Team for collecting all the essential commodities like health material; food materials etc.,In coordination with NGOs; orgnizations; public representatives and volunteers,,https://cdn.s3waas.gov.in/s3ba3866600c3540f67c1e9575e213be0a/uploads/2020/04/2020042233.pdf,,,,,https://yadgir.nic.in/en/covid-19/
Karnataka,Yadgir,District,Others,,Govt.,Details of various committees formed to prevent spreading of COVID -19 in Yadgir,,,https://cdn.s3waas.gov.in/s3ba3866600c3540f67c1e9575e213be0a/uploads/2020/04/2020042278.pdf,,,,,https://yadgir.nic.in/en/covid-19/
Uttarakhand,ALL,State,E-pass View,,Govt.,Travel pass,Issued for people engaged in providing essential services; medical emergencies,,https://policecitizenportal.uk.gov.in/e_pass/Home/Index,For people providing essential services like health; manufacturing; transport; storage; shops; banking; media persons. For others only for medical emergency.,Aadhar or department issued ID,,,
Uttarakhand,ALL,State,E-pass View,,Govt.,Department Travel pass,For Police Officials,,https://policecitizenportal.uk.gov.in/Curfew_Pass/Login.aspx,,,,,
Uttarakhand,ALL,State,Food View,Others,Govt.,Public Food Shelter,Public food shelters across Uttarakhand,,https://www.google.com/maps/search/public+food+shelter+uttarakhand/@29.6031986;77.6996262;8z/data=!3m1!4b1,,,,some of the public food shelters are: Public Food Shelter - Mall Rd; near SP Office; Almora; 263601;Noti Karanprayag Rd; near Tehsil office; Karnaprayag; Uttarakhand 246444;Chukku Mohalla ; Ghantaghr; Clock Tower; Chukkuwala; Dehradun; Uttarakhand 248001;Chuna Bhata; Raipur,
Uttarakhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Government Medical College; Haldwani,,https://www.icmr.gov.in/,,,,,
Uttarakhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,AIIMS; Rishikesh,,https://www.icmr.gov.in/,,,,,
Uttarakhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Doon Medical College; Dehradun,,https://www.icmr.gov.in/,,,,,
Uttarakhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Dr. Ahuja’s Pathology and Imaging Centre; 7-B; Astley Hall; Dehradun,01352659700 ; 2650000,https://www.icmr.gov.in/,,,,,
Uttarakhand,ALL,State,Health View,Tele-consultation,Govt.,Medical Helpline,For psychological advice related to mental stress in the pandemic,8046110007,http://health.uk.gov.in/files/Corrected-15-04-2020-Health-Bulletin.pdf,,,,,http://health.uk.gov.in/pages/View/101-covid19-health-bulletin-for-uttarakhand
Uttarakhand,ALL,State,Others,,Govt.,Volunteer registration,COVID warrior team,9761696435;,https://covid19cso.uk.gov.in/VolunteerRegistration.aspx,,,,,
Uttarakhand,Almora,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,Base Hospital,05962-2233015,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,http://health.uk.gov.in/
Uttarakhand,Bageshwar,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital,05963-221822,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,http://health.uk.gov.in/
Uttarakhand,Chamoli,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital,01372-252187,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,http://health.uk.gov.in/
Uttarakhand,Champawat,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital,05965- 230312,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,http://health.uk.gov.in/
Uttarakhand,Champawat,District,Health View,Others,Govt.,Chief Medical Office Control Room,For health related isuues,05965230943;,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Champawat,District,Food View,Hunger Helplines,Govt.,Champawat Control room,Food packet distribution,06397374138; 8394075014,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Champawat,District,Food View,Hunger Helplines,Govt.,Lohaghat Control Room,Food packet distribution,05965234524; 7900300000,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Champawat,District,Food View,Hunger Helplines,Govt.,Tanakpur Control Room,Food packet distribution,7456015119; 7249977386,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Champawat,District,Food View,Hunger Helplines,Govt.,Pati Control Room,Food packet distribution,9458148878; 7351303430,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Champawat,District,Health View,Others,Govt.,Tanakpur Hospital,For health related issues,5943266500;,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Champawat,District,Health View,Others,Govt.,Lohaghat Hospital,For health related issues,5965235145;,https://uttaraonline.in/nicchp/contact.html,,,,,
Uttarakhand,Dehradun,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,Doon Medical College,0135-2726256;2724506,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,
Uttarakhand,Dehradun,District,Food View,Others,Govt.,Doon Happy meals,Form for Donors to donate food kits ,,http://dsclservices.in/efoodbank/,,,,#No one sleeps hungry - food distribution initiative by dehradun govt,
Uttarakhand,Haridwar,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,Mela Hospital,01334-230600,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,http://health.uk.gov.in/
Uttarakhand,Haridwar,District,Food View,Ration,Govt.,Food and Supply Department,,01334-255125,https://haridwar.nic.in/helpline-numbers/,,,,,
Uttarakhand,Haridwar,District,Food View,Food Delivery,Govt.,Home Delivery shops,Names and Contact Details,,https://cdn.s3waas.gov.in/s33416a75f4cea9109507cacd8e2f2aefc/uploads/2020/03/2020033067.pdf,,,,, https://haridwar.nic.in/
Uttarakhand,Haridwar,District,Food View,Ration,Govt.,Ration shops,,,https://haridwar.nic.in/contact-list-of-ration-dealers-in-haridwar/,,,,,
Uttarakhand,Haridwar,District,Food View,Food Delivery,Govt.,Laksar Home Delivery shops ,Names and Contact Details,,https://cdn.s3waas.gov.in/s33416a75f4cea9109507cacd8e2f2aefc/uploads/2020/03/2020040424.pdf,,,,, https://haridwar.nic.in/
Uttarakhand,Haridwar,District,Food View,Others,Govt.,List of flour mills,,,https://haridwar.nic.in/home-Delivery-shops/,,,,, https://haridwar.nic.in/
Uttarakhand,Haridwar,District,Health View,Others,Govt.,District health helpline,,01334-239920; 9411565050; 9897283659,https://haridwar.nic.in/helpline-numbers/,,,,,
Uttarakhand,Haridwar,District,Health View,Medicine Delivery,Govt.,Haridwar medical stores,Names and Contact Details,,https://cdn.s3waas.gov.in/s33416a75f4cea9109507cacd8e2f2aefc/uploads/2020/03/2020033115.pdf,,,9am-7pm,If any medicine is unavailable in any of these shops WhatsApp to Mr. Shekhar satija at 9997993191, https://haridwar.nic.in/
Uttarakhand,Haridwar,District,Health View,Medicine Delivery,Govt.,Laksar Medical stores,Names and Contact Details,,https://cdn.s3waas.gov.in/s33416a75f4cea9109507cacd8e2f2aefc/uploads/2020/03/2020040416.pdf,,,,, https://haridwar.nic.in/
Uttarakhand,Haridwar,District,Health View,Others,Govt.,Roorkee Home Delivery app ,,,https://drive.google.com/file/d/1r5MUTVNvXOIC-Cmb6hOJscTuNVambjdH/View,,,,,
Uttarakhand,Haridwar,District,Others,,Govt.,Nagar Nigar Roorkee app,,,https://drive.google.com/file/d/1ND8zfVe9pWj9fj7QdlZizLJFEnEc9rXL/View,,,,,
Uttarakhand,Nainital,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,STM Medical College ; BD Pandey Hospital,05942-235285,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,,
Uttarakhand,Pauri Garhwal,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,Base Hospital Kotdwar ; Srinagar Medical College,01368-221668,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,, http://health.uk.gov.in/
Uttarakhand,Pithoragarh,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital,05964-225142,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,, http://health.uk.gov.in/
Uttarakhand,Pithoragarh,District,Health View,Others,Govt.,Medical Helpline,,228050 ; 226326,https://pithoragarh.nic.in/,,,,,
Uttarakhand,Rudraprayag,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital (Madhavashram Campus),01364-233946,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,, http://health.uk.gov.in/
Uttarakhand,Tehri Garhwal,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital,01376-232093,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,, http://health.uk.gov.in/
Uttarakhand,Uttarkashi,District,Health View,Speciality Hospitals,Govt.,Dedicated COVID Hospital,District Hospital,01374-222101,http://health.uk.gov.in/files/New_Doc_2020-03-31_16.55.08.pdf,,,,, http://health.uk.gov.in/
Gujarat,ALL,State,Health View,Tele-consultation,Govt.,Tele advice available 24X7,,9900,https://twitter.com/sdmvyara/status/1244843741132861440?s=20,,,,,
Gujarat,ALL,State,Health View,Others,Govt.,State health helpline number,,104,https://nrhm.gujarat.gov.in/corona-virus-guidline-nhm.htm,,,,,
Gujarat,ALL,State,Health View,Isolation Centers,Govt.,Hospitals names and contact details,Detail of the number of isolation beds across all the districts   ,,https://gujhealth.gujarat.gov.in/images/pdf/PVT-HOSPITAL-COVID-19-ISOLATON-BEDS.pdf,,,,,https://gujhealth.gujarat.gov.in/
